shortGenotype,media,background,matingType,reference,comment
fob1 sir2    ,0.1% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1 sir2    ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
wild type     ,,PSY316AR,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
fob1     ,,PSY316AR,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
SIR2OE     ,,PSY316AR,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
SIR2OE     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
SIR2OE     ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
sir2     ,,BY4742,alpha,Kaeberlein Kennedy 2004 PLoS Biology,
wild type     ,,BY4741,a,Dang Berger 2009 Nature,
wild type     ,,BY4742,alpha,Dang Berger 2009 Nature,
sas2     ,,BY4741,a,Dang Berger 2009 Nature,
sas2     ,,BY4742,alpha,Dang Berger 2009 Nature,
SIR2OE     ,,BY4741,a,Dang Berger 2009 Nature,
sas2 SIR2OE    ,,BY4741,a,Dang Berger 2009 Nature,
H4WT     ,,FY1716,a,Dang Berger 2009 Nature,
H4K16R     ,,FY1716,a,Dang Berger 2009 Nature,
H4K16Q     ,,FY1716,a,Dang Berger 2009 Nature,
H3WT     ,,FY1716,a,Dang Berger 2009 Nature,
H3K56R     ,,FY1716,a,Dang Berger 2009 Nature,
H3K56Q     ,,FY1716,a,Dang Berger 2009 Nature,
rtt109     ,,BY4741,a,Dang Berger 2009 Nature,
rtt109     ,,BY4742,alpha,Dang Berger 2009 Nature,
H4WT sir2    ,,FY1716,a,Dang Berger 2009 Nature,
H4K16R sir2    ,,FY1716,a,Dang Berger 2009 Nature,
H4K16Q sir2    ,,FY1716,a,Dang Berger 2009 Nature,
fob1 H4WT    ,,FY1716,a,Dang Berger 2009 Nature,
fob1 H4K16R    ,,FY1716,a,Dang Berger 2009 Nature,
fob1 H4K16Q    ,,FY1716,a,Dang Berger 2009 Nature,
H4WT SIR2OE    ,,FY1716,a,Dang Berger 2009 Nature,
H4K16R SIR2OE    ,,FY1716,a,Dang Berger 2009 Nature,
H4K16Q SIR2OE    ,,FY1716,a,Dang Berger 2009 Nature,
sir3     ,,BY4742,alpha,Dang Berger 2009 Nature,
SIR2OE     ,,BY4742,alpha,Dang Berger 2009 Nature,
SIR2OE sir3    ,,BY4742,alpha,Dang Berger 2009 Nature,
sir3     ,,BY4741,a,Dang Berger 2009 Nature,
sir4     ,,BY4741,a,Dang Berger 2009 Nature,
H3K9R     ,,FY1716,a,Dang Berger 2009 Nature,
H3K9Q     ,,FY1716,a,Dang Berger 2009 Nature,
hst3     ,,BY4742,alpha,Dang Berger 2009 Nature,
hst4     ,,BY4742,alpha,Dang Berger 2009 Nature,
hst3 hst4    ,,BY4742,alpha,Dang Berger 2009 Nature,
H4WT sgs1    ,,FY1716,a,Dang Berger 2009 Nature,
H4K16R sgs1    ,,FY1716,a,Dang Berger 2009 Nature,
H4K16Q sgs1    ,,FY1716,a,Dang Berger 2009 Nature,
wild type     ,,BY4742,alpha,Burtner Kaeberlein 2011 Cell Cycle,
vps51     ,,BY4742,alpha,Burtner Kaeberlein 2011 Cell Cycle,
tlg2     ,,BY4742,alpha,Burtner Kaeberlein 2011 Cell Cycle,
wild type     ,,PSY316AT,alpha,Kaeberlein Kennedy 2005 JBC,
SIR2OE     ,,PSY316AT,alpha,Kaeberlein Kennedy 2005 JBC,
wild type     ,,BY4742,alpha,Kaeberlein Kennedy 2005 JBC,
wild type     ,10 uM resveratrol,BY4742,alpha,Kaeberlein Kennedy 2005 JBC,Resveratrol obtained from Biomol Inc.
wild type     ,100 uM resveratrol,BY4742,alpha,Kaeberlein Kennedy 2005 JBC,Resveratrol obtained from Biomol Inc.
wild type     ,10 uM resveratrol,BY4742,alpha,Kaeberlein Kennedy 2005 JBC,Resveratrol obtained from Sigma Inc.
wild type     ,,W303R,a,Kaeberlein Kennedy 2005 JBC,
wild type     ,100 uM resveratrol,W303R,a,Kaeberlein Kennedy 2005 JBC,
wild type     ,,PSY316AR,alpha,Kaeberlein Kennedy 2005 JBC,
wild type     ,10 uM resveratrol,PSY316AR,alpha,Kaeberlein Kennedy 2005 JBC,
wild type     ,100 uM resveratrol,PSY316AR,alpha,Kaeberlein Kennedy 2005 JBC,
wild type     ,100 uM resveratrol,PSY316AT,alpha,Kaeberlein Kennedy 2005 JBC,
BY4742     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
BY4741     ,,BY4741,a,Kaeberlein Kennedy 2005 Mech Ageing Dev,
BY4743     ,,BY4743,diploid,Kaeberlein Kennedy 2005 Mech Ageing Dev,
MATalpha::MATa/MATa     ,,BY4743,diploid,Kaeberlein Kennedy 2005 Mech Ageing Dev,
cdc73     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
cpr7 aneuploid    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,cpr7::kanMX
cpr7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,cpr7::URA3
cyt1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
fob1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
fob1 sir2    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
gpa2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
gpr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
hog1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
hpr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
hpr5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
hsc82     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
hsp104     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
hxk2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
lag1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
lag2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
mpt5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
mpt5 ssd1    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
pde2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
phb1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
phb2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
pnc1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
rad16     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
rad52     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
ras1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
ras2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
rho0     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
rpd3 aneuploid    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,rpd3::kanMX
rpd3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,rpd3::URA3
rtg2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
rtg3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sch9     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
scp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sgs1 aneuploid    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,sgs1::kanMX
sgs1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,sgs1::URA3
sin3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sip2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sir2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
SIR2OE     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sir3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sir3 SIR3S275A    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sir3 SIR3-WT    ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sir4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
slt2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
snf4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sod1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
sod2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
soh1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
ssd1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
uth1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
zds1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
zds2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
wild type     ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2005 Mech Ageing Dev,
wild type     ,,W303R,a,Kaeberlein Kennedy 2005 Mech Ageing Dev,
rpd3     ,,W303R,a,Kaeberlein Kennedy 2005 Mech Ageing Dev,
wild type     ,,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
rho0     ,,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
wild type     ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
rho0     ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
wild type     ,,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
cyt1     ,,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
rho0     ,,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
cyt1 rho0    ,,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
wild type     ,0.05% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
cyt1     ,0.05% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
rho0     ,0.05% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
cyt1 rho0    ,0.05% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
wild type     ,0.5% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
cyt1     ,0.5% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
rho0     ,0.5% glucose,PSY316AUT,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
sir2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
wild type     ,5 mM nicotinamide,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
sir2     ,5 mM nicotinamide,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
fob1 sir2    ,,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
fob1 sir2    ,5 mM nicotinamide,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
fob1 sir2    ,0.05% glucose,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
fob1 sir2    ,0.05% glucose + 5 mM nicotinamide,BY4742,alpha,Kaeberlein Kennedy 2005 PLoS Genetics,
wild type     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aac1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aad3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aap1'     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
acs1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ade6     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
adk2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
afr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aht1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
akr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ald3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
alt2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
amd2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aor1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
arg4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aro4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
aro9     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
arp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
arx1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ask10     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
asp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
atg17     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
atg22     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
atg23     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
atp18     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
atp5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
azf1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bag7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bas1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bio3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bio4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bio5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bmh1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bmh2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bre5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bsc2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
btt1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bub2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bud8     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
bzz1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
car2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ccc2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
chl4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
chs7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
clb1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
clb6     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cna1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cox19     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cox5b     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cpr2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cpr5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
crc1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
crn1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
csr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cta1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ctf3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ctm1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ctt1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
cys3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dap2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dci1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dcs2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ddp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
deg1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dic1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
din7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
djp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dmc1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dnf2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
doa4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dog1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dog2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
don1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dos2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dpb4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dpl1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dpp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dse2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dse4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
dyn1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ecm14     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ecm18     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ecm19     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ecm30     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ecm32     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ecm7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
eft1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
elg1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
emi1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
eps1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ept1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
erp5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
exg2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
far3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fau1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fbp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fet3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fin1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fkh1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
flo1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp10     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp16     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp18     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp27     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp36     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp46     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fmp51     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fob1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fpr4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fre4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
fyv5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gac1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gat1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gcn2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gcy1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gga2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gic1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gic2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gis1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
glg1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gln3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
glo2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gnd1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gpx2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gre3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
grx3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
grx4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
gsg1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hda2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
his7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hmg2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hnt2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hsp78     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hub1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hxt1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
hxt4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
iah1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
idh2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
iki3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
imd3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
inm1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ino2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
inp51     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
inp53     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ipk1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ipt1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ire1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
isc10     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
isw1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
kel1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
kin1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ksp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ktr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ktr2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ktr7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lcb4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
leo1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
leu9     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lin1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lrp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lsc1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lst7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lte1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lys12     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
lys9     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mag2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mal32     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mcm21     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mcx1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mdm30     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mdr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mep1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
met32     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mfa1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mhr1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mip6     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mnn10     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mnt4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mpc54     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mrp13     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mrpl1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mrpl35     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mrpl39     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mrps28     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mrs4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
msc7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
msh6     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
msn5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
msw1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mth1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
mup1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nam8     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nap1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ndt80     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nfi1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nft1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nft1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nit3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nmd2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nmd4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
nsg1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
om45     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
orm2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
ort1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
osh3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
oye2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pac10     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pai3     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pam1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pau4     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pbp2     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pck1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pcp1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pda1     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pdc6     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pdr5     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
pep7     ,,BY4742,alpha,Kaeberlein Kennedy 2005 Science,
